Filename: /home/dev/scikit_learn_data/20news_home/20news-bydate-train/sci.space/60823
Truth category: 2 (sci.space)
Assigned cluster: 0 (space orbit like use launch know moon think time shuttl)

Raw data:
============ START RAW ==========================
From: rls@uihepa.hep.uiuc.edu (Ray Swartz (Oh, that guy again))
Subject: Re: japanese moon landing?
Reply-To: rls@uihepa.hep.uiuc.edu
Organization: Vis-Orb Tragnetics Recorporation
Lines: 35

In article <C5L2xt.IqD@zoo.toronto.edu>, henry@zoo.toronto.edu (Henry Spencer) writes:
>In article <C5Kys1.C6r@panix.com> dannyb@panix.com (Daniel Burstein) writes:
>>A short story in the newspaper a few days ago made some sort of mention
>>about how the Japanese, using what sounded like a gravity assist, had just
>>managed to crash (or crash-land) a package on the moon.
>
>Their Hiten engineering-test mission spent a while in a highly eccentric
>Earth orbit doing lunar flybys, and then was inserted into lunar orbit
>using some very tricky gravity-assist-like maneuvering.  This meant that
>it would crash on the Moon eventually, since there is no such thing as
>a stable lunar orbit (as far as anyone knows), and I believe I recall
>hearing recently that it was about to happen.


The gravity maneuvering that was used was to exploit 'fuzzy regions'.  These
are described by the inventor as exploiting the second-order perturbations in a
three body system.  The probe was launched into this region for the
earth-moon-sun system, where the perturbations affected it in such a way as to
allow it to go into lunar orbit without large expenditures of fuel to slow
down. The idea is that 'natural objects sometimes get captured without
expending fuel, we'll just find the trajectory that makes it possible". The
originator of the technique said that NASA wasn't interested, but that Japan
was because their probe was small and couldn't hold a lot of fuel for
deceleration.

	This from an issue of 'Science News' or 'The Planetary Report' I
believe, about 2 months ago(?).


Raymond L. Swartz Jr. (rls@uihepa.hep.uiuc.edu)
================================================================================
I read the newspaper today and was amazed that, in 24 hours, five billion
people could accomplish so little.
================================================================================


========== END RAW ============================

Preprocessed:
============ START PREPROCESSED =================
 japanes moon land       short stori newspap day
ago made sort mention japanes use sound like
graviti assist manag crash crash land packag moon
hiten engin test mission spent high eccentr earth
orbit lunar flybi insert lunar orbit use tricki
graviti assist like maneuv meant crash moon eventu
sinc thing stabl lunar orbit far anyon know believ
recal hear recent happen   graviti maneuv use
exploit fuzzi region describ inventor exploit
second order perturb three bodi system probe
launch region earth moon sun system perturb affect
way allow lunar orbit without larg expenditur fuel
slow idea natur object sometim get captur without
expend fuel we'll find trajectori make possibl
origin techniqu said nasa wasn't interest japan
probe small couldn't hold lot fuel deceler  issu
scienc new the planetari report believ month ago
read newspap today amaz hour five billion peopl
could accomplish littl
scienc, 7692, 0.0552581533867
larg, 5124, 0.0547568882827
object, 6173, 0.0544520134722
origin, 6293, 0.0525836236596
order, 6281, 0.0522678984014
happen, 4159, 0.0521125284486
second, 7753, 0.0514575090532
idea, 4482, 0.050549526945
high, 4292, 0.0500035238206
littl, 5308, 0.0496940915079
far, 3386, 0.0493910023268
said, 7583, 0.0492205577367
possibl, 6765, 0.048476975698
ll, 5314, 0.046838766806
lot, 5356, 0.0461345430242
sinc, 7977, 0.0450732154985
read, 7135, 0.0450093454015
day, 2402, 0.0438454645419
new, 6023, 0.0430708559636
thing, 8869, 0.0403937123762
peopl, 6530, 0.0401164685451
anyon, 554, 0.0397323974849
way, 9666, 0.0386781193043
make, 5459, 0.0370850074418
know, 5052, 0.0318485839616
