Filename: /home/dev/scikit_learn_data/20news_home/20news-bydate-train/sci.space/61110
Truth category: 2 (sci.space)
Assigned cluster: 0 (space orbit like use launch know moon think time shuttl)

Raw data:
============ START RAW ==========================
From: nsmca@aurora.alaska.edu
Subject: Re: Death and Taxes (was Why not give $1 billion to...
Article-I.D.: aurora.1993Apr23.000021.1
Organization: University of Alaska Fairbanks
Lines: 55
Nntp-Posting-Host: acad3.alaska.edu

In article <1993Apr22.162501.747@indyvax.iupui.edu>, tffreeba@indyvax.iupui.edu writes:
> In my first posting on this subject I threw out an idea of how to fund
> such a contest without delving to deep into the budget.  I mentioned
> granting mineral rights to the winner (my actual wording was, "mining
> rights.)  Somebody pointed out, quite correctly, that such rights are
> not anybody's to grant (although I imagine it would be a fait accompli
> situation for the winner.)  So how about this?  Give the winning group
> (I can't see one company or corp doing it) a 10, 20, or 50 year
> moratorium on taxes.
> 
> Tom Freebairn 


Who says there is no mineral rights to be given? Who says? The UN or the US
Government? 
Major question is if you decide to mine the moon or Mars, who will stop you?
The UN can't other than legal tom foolerie.. Can the truly inforce it?

If you go to the moon as declare that you are now a soverign nation, who will
stop you from doing it. Maybe not acknowledge you? 

Why can't a small company or corp or organization go an explore the great
beyond of space? what right does earth have to say what is legal and what is
not.. Maybe I am a few years ahead on this.. It is liek the old Catholic Church 
stating which was Portugals and what was Spains, and along came the Reformation
and made it all null and void.. 

What can happen is to find a nation which is acknowledged, and offer your
services as a space miner and then go mine the asteroids/mars/moon or what
ever.. As long as yur sponsor does not get in trouble..
Basically find a country who wants to go into space, but can't for soem reason
or another, but who will give you a "home".. Such as Saudia Arabia or
whatever..
There are nations in the World who are not part of the UN, got to them and
offer your services and such.. I know that sound crazy, but. is it..
Also once you have the means to mine the moon (or whatever) then just do it.
The UN if done right can be made to be so busy with something else, they will
not care.. 
If your worried about the US, do the same thing..

Why be limited by the short sighted people of earth.. After all they have many
other things to worry about that if someone is mining the Moon or MArs or what
ever..
Basically what I am saying is where is that drive of yeasteryears to go a
little bit farther out, to do jus ta  little bit more, and to tell the crown to
piss off.. If my ancestors thought the way many today think, Id have been born
in Central Europe just north of the Black Sea..

I just read a good book, "Tower of the Gods" Interesting..

==
Michael Adams, nsmca@acad3.alaska.edu -- I'm not high, just jacked


 

========== END RAW ============================

Preprocessed:
============ START PREPROCESSED =================
 death tax give billion articl aurora 1993apr23
first post threw idea fund contest without delv
deep budget mention grant miner right winner
mani, 5479, 0.0759906705347
threw, 8894, 0.0753942607707
contest, 2086, 0.0750169165723
thing, 8869, 0.0731868708838
central, 1611, 0.0703514064956
deep, 2466, 0.0700913044742
budget, 1367, 0.0686285981714
born, 1233, 0.0686285981714
year, 9943, 0.0673275055962
church, 1746, 0.0673100098146
north, 6110, 0.0666963987199
truli, 9127, 0.0664979531167
ahead, 342, 0.0650081042854
troubl, 9117, 0.0648330059331
countri, 2186, 0.0648330059331
somebodi, 8121, 0.0639902857349
billion, 1092, 0.0638279221323
explor, 3307, 0.0633523159625
busi, 1424, 0.0617400645138
imagin, 4518, 0.0608067135986
fund, 3723, 0.0608067135986
death, 2423, 0.0598140496719
limit, 5278, 0.0585591482382
black, 1133, 0.0585591482382
drive, 2873, 0.0581304769929
decid, 2442, 0.058025418939
situat, 7995, 0.0565410789842
organ, 6287, 0.0560807301316
govern, 3966, 0.055900931013
anybodi, 552, 0.0544628815661
came, 1472, 0.0539900736624
mention, 5632, 0.0536084286666
short, 7904, 0.0529477276268
care, 1516, 0.0527345427574
sound, 8150, 0.0525942814422
small, 8054, 0.0521821002067
home, 4354, 0.0516515424082
correct, 2156, 0.051586676261
today, 8964, 0.0512039407028
old, 6216, 0.0506495926348
major, 5458, 0.049166096582
quit, 7043, 0.0490585069818
win, 9770, 0.0486886064252
given, 3887, 0.048077329264
word, 9829, 0.0479781078235
book, 1218, 0.0479781078235
state, 8342, 0.0474927346772
happen, 4159, 0.0472097347166
god, 3926, 0.0472097347166
thought, 8887, 0.0467509627099
group, 4064, 0.0466163401374
els, 3053, 0.0463073846535
idea, 4482, 0.0457937818058
world, 9841, 0.0448612384163
great, 4016, 0.0445515174914
got, 3960, 0.0439527660503
tell, 8767, 0.0437710151856
someon, 8124, 0.0437710151856
reason, 7156, 0.0432054500933
articl, 665, 0.0431708827626
anoth, 533, 0.0431708827626
actual, 254, 0.0430677128055
long, 5336, 0.042205371368
mean, 5595, 0.0413952043271
read, 7135, 0.0407748255445
question, 7032, 0.0405458484608
someth, 8126, 0.0394301009195
post, 6766, 0.0391203799947
point, 6710, 0.0378089693642
want, 9634, 0.0364882123304
peopl, 6530, 0.0363422749608
way, 9666, 0.0350392469153
good, 3948, 0.03443237649
think, 8871, 0.0306781779711
know, 5052, 0.0288522404245
